z.s.;LAT;LON;lokacija;naslov;foto_1
1;46.0144834;15.3026944;Bazen Sevnica;Prvomajska ulica 6, Sevnica;https://doc-04-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/fcmh4hco1dg7pfm7svsd61fkcs/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALrLxkxmkcaEMUuu_9s_aQ8dcnoEGBFheAN24v777QjIBe8a95rkRyYZoj_A_qjJI2l_Zvbxs5x2TYUJfVHJXs2U0rOuAlT-SmL4FO2HdW8-HcehX-Ijj8kJSkAApKJncrLE9TWc3ixFf21Oxc3tVEU51tI_c0QfwVWdMp34Lrncps5J8F5Vq22oNQq-CbHN5nqW1ZDY68kpKUHk3h9l4o4fMRz3gA?session=0&fife
2;46.0098611111111;15.3040555555556;Osnovna šola Sevnica;Trg svobode 41, Sevnica;https://doc-00-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/kssss6pg8qksid8ootkhuvvlds/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALrKhdhvGm5P-B2ErYd27oXvYm64ufQCA6FJ7LiS_yEjBbr7To5KtiyvoqymQow03_PgdW1kDJ8vD1O22mpxmninAmKq9ZLAoN7hWRPnPSCqW7MdZXeGkiTze4w1OrrbzLP0a06gO2BxUwZHpE5H1pB_cKPsJFOR_OnecLhNjqzlcUa5qU_keTMCq1UKh1ddEZaA6_YWY_TrukymJ2OgfIX_agwojg?session=0&fife
3;46.0054722222222;15.3119722222223;Vhod v športni park Sevnica;Kvedrova cesta 3b, Sevnica;https://doc-00-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/kupnl7h9gs0i6ukrt47uiihbig/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALoanD8-r1D1a_WtOOyn37smsAV7P8ASqQiDmygjalbb1XidkABb9osZ-B7P-M5BEr_eGcipHASeGOO9Qfy0w6c9Nq07fTsaiCka4cXBR6qtZw38nLW9rBGltrDLJswiI8azKHdGt5kV5zQUZsjdFVzLdZ1xIk_jfEjbuAlz-ke9oEgvQSRo1n25DAkdPoEG0afKgeekKKsU6uTH0JW1T2H2_qVw7Q?session=0&fife
4;46.0058611111111;15.3189166666666;Bloki pod Vrtačo;Pod Vrtačo 15, Sevnica;https://doc-00-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/0708tki885c7dn5m159uouq5ak/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALoj10CSxfv-uMAOtay6yQ3Pw4mkzz02NxKOV4szhxPplg3VnkCZWRZQQd2tJ0J4mnVwD7qttq55SrmJrpX6H6ech1594ZqgjPIFIHQCs0I0A8VOc-E6Fhn1T7e_nc4HiamC5ssCvOERHYS58vaPhf8COmJ7Ku04L0Pe9uqt1jn-pBangHiTOtdiJ5xUIaEjkepRB3K_lYZB7guPOb9DLadoNV83tA?session=0&fife
5;46.0098055555556;15.2923888888889;Pri Pointer Dolenji Boštanj;Dolenji Boštanj 55;https://doc-0g-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/79su2vsg3tbkh0v3kcj4akveh0/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALqD9FvuRncskIDd6PQY3ZDrHmPs7AvhKtWhJsg8uQqxcj1X_6ntLA2GOyIVHIEiW6mMAnyl4eu0n_BpuVq2v5sPj-2wX1gi5NOQQI7M9xgtbba9jmqR_ASrAv3HOi-LAlwWiRvRFxh5GusZJiFUpuu5FCuBqUE15iQ_6O1mGrITLK6dMqaitgCOyEgkmHJlkYKa7t5gEePQIYTuSpn5Fog4LBnlhg?session=0&fife
6;46.0121388888889;15.2778888888889;Pokopališče Boštanj;;https://doc-04-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/g2fou33isc1dsrh6hd8qgs8o0g/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALrELUd0klc_imUbnOnBNYSwV6x1dXIk7FH52PQZmZ6YvNRoPL7xDWFIKqmQTM8ieoLO-_k2v8wptYcJC6GuuXOcmWYv2B04RnsYvUJWXAsJh9F_K336DqyP1G8ItepcdO6auvCymVIDO4j2jqBK0YeTtRaPdXVHy8lBop-bg_AUxDiPsMTwCfLany-UyriggujzZeYfJEjEadwnFDUQf3uEOhmOjg?session=0&fife
7;45.9923888888889;15.3898055555555;Ekološki otok pri gasilskem domu na Blanci;Blanca 25;https://doc-08-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/3bh2tnmb4i72ru1u06jco796dc/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALpFlpBGP9dIz57UUaAf3n1hSGmijekBw9HeYF2ePSGEMgqqsHYHUIUSiKrMaRmCbJmMn0tLcyiLdZ6Ptkm6hVRhpsUiFNrnbMBgIXJqUrlzFqWW8z92w0LWC6IUnO8tzVuTA1_wOcTH0Z_h77kBQYnfZSkAnYBHxrakjI7xRH4M8RRW4YsW89JAuJYysRCqsgiPI2gXrdb_DNjayeDVh3d7YPQ0zw?session=0&fife
8;45.9835;15.1863055555556;Pri Osnovni šoli Krmelj;Krmelj 25;https://doc-0s-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/99i8736ne53rl57o03fd109kj8/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALoq4Vy_zz_OoL04pooJB3xuziexx_CIoxqBkwBIC9o5j_uIIhxSNaqnNbQwZ94ZAPpoCAX3qDwIMdGV5qqQoxkx319c40uBtQjuteIJurPXbQetuGEe2EdlKiKoIBgLzJkIo2-Tm5OUwSyMtbkvFFYp39MLJdbW9SduxwJUuffkTcjTo2svpjaGPaDOFgWn0nZtcBQV7gLrA5k4ipUzyatULogYBw?session=0&fife
9;46.0131666666667;15.1713055555556;Pri Osnovni šoli Šentjanž;Šentjanž 58;https://doc-0s-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/gt4gtui4kp0rc58gtrku4upej4/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALrG14QNeeMg4twaxR5_ENAYx1urnjX43T_B-jW-dqJZ95OQWCuGtlMzdAU3cRs3ZwWYHjGC2TOH9EFDZqdpJ-TqU_Uc4tDgTbVwYGUuUi1SW1--Uc9xDcd18WPOYA_yJ5z3Dfzeuc5EB-OnAplIETWnncBCjaOECRxZNzaepydU9aTExoLK7gV8SDoEUK2kZXgLn5NNgBDsWmowIdE6BxyFl9V3AA?session=0&fife
10;46.0547222222222;15.2105277777778;Igrišče Loka pri Zidanem  Mostu;Loka pri Zidanem Mostu 101;https://doc-04-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/g4dmfs6ikjr0h747uf7r841hbs/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALqyP2IYA0ixoyw32JfpDTTQERX53LvwjS-hNK7CIn3LuA0D6dSLkCETx_eNFBITj95DDCH8Zi2t9lLz16fL5aLlJdlqd2uA_V1EgcoV3LHjI5phO8zMn9fPB07B1_LnFEdUjdc1agcpqGVwHL3cZI9Gn9Fic1HwUV5dRxYH5mZE22TKgcqzdZ-youiz8B56Yae47Cz2KFJF0kS2r_eubB04n0nyYg?session=0&fife
11;45.9597222222222;15.1918333333333;Krajevna skupnost Tržišče;Tržišče 46a;https://doc-10-0o-mymaps.googleusercontent.com/untrusted/hostedimage/c230814spgs4oa9qhei123ts5g/oa2dseoeeeqbhga2phu7350ub4/1619331226500/W6BP-1cUms1BR3-rtZjYZ6BddjgZnn7v/14702264758816854928/5AF2TALrR_MRAiciAlobHGbJYNBaXNQO6X8cm6bUczpZueUezKuyejBcvpwblkCgkA25txqqkEjqJp3fyY2bsVE7QAzFHsdh491I1e3kNO6O-XZ_ZvDwm0sn0mwyhZb0nd_aBQyuACq0ZTBO6ONLsT209o0F00qsgIq7ABlb5w3pUSma0NwqKjEb0Uohp9OMkfgdjk3T23UvxGjnIzImJ2FG7mYmimoQeBg?session=0&fife
